FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FTpct,2PA,2Ppct,3PA,3Ppct,SHOOTINGpct,PPOINTSPG,REBOUNDSPG,ASSISTSPG,STEALSPG,BLOCKSPG
Khris Middleton,Mil,F,29.01,62,29.9,227,0.916,593,0.546,354,0.415,0.619,20.9,6.2,4.3,0.85,0.11
Eric Bledsoe,Mil,G,30.68,61,27,214,0.79,490,0.531,215,0.344,0.57,14.9,4.7,5.4,0.92,0.43
Brook Lopez,Mil,C,32.37,68,26.7,152,0.836,346,0.549,325,0.314,0.551,12,4.6,1.5,0.68,2.4
Wesley Matthews,Mil,G,33.84,67,24.4,68,0.765,125,0.472,297,0.364,0.547,7.4,2.5,1.4,0.55,0.13
Andrew Wiggins,Min,F,25.47,42,34.7,207,0.72,515,0.505,275,0.331,0.535,22.4,5.2,3.7,0.69,0.86
Karl-Anthony Towns,Min,C-F,24.75,35,33.9,226,0.796,345,0.586,277,0.412,0.642,26.5,10.8,4.4,0.94,1.2
Malik Beasley,Min,G,23.72,14,33.1,28,0.75,118,0.517,115,0.426,0.591,20.7,5.1,1.9,0.64,0.14
D'Angelo Russell,Min,G,24.47,12,32.6,55,0.873,100,0.49,110,0.345,0.555,21.7,4.6,6.6,1.42,0.33
Juancho Hernangomez,Min,F,24.88,14,29.4,46,0.609,68,0.485,69,0.42,0.576,12.9,7.3,1.3,1,0.29
Jrue Holiday,Nor,G,30.18,61,34.7,182,0.709,660,0.509,346,0.353,0.537,19.1,4.8,6.7,1.62,0.8
Brandon Ingram,Nor,F,22.95,62,33.9,368,0.851,712,0.501,384,0.391,0.587,23.8,6.1,4.2,0.98,0.6
Lonzo Ball,Nor,G,22.8,63,32.1,76,0.566,292,0.442,395,0.375,0.517,11.8,6.1,6.9,1.41,0.59
Zion Williamson,Nor,F,20.11,24,27.8,178,0.64,346,0.59,14,0.429,0.616,22.5,6.3,2.1,0.67,0.38
Josh Hart,Nor,G,25.44,65,27,115,0.739,178,0.584,354,0.342,0.563,10.1,6.6,1.7,0.97,0.35
Julius Randle,Nyk,C-F,25.71,64,32.5,352,0.733,774,0.516,231,0.277,0.538,19.5,9.7,3.1,0.8,0.34
Marcus Morris Sr.,Nyk,F,30.95,43,32.3,198,0.823,372,0.444,264,0.439,0.582,19.6,5.4,1.4,0.77,0.4
RJ Barrett,Nyk,F-G,20.17,56,30.4,254,0.614,530,0.432,197,0.32,0.479,14.3,5,2.6,0.95,0.3
Elfrid Payton,Nyk,G,26.48,45,27.7,86,0.57,371,0.482,69,0.203,0.47,10,4.7,7.2,1.58,0.38
Maurice Harkless,Nyk,F-G,27.26,12,23.8,24,0.625,41,0.561,25,0.28,0.536,6.8,3.3,1.7,0.75,0.25
